"C_UK078_01","UK078","HEALTHCARE","BSc (Hons) Nursing (Adult)","UG","2026","September","3 Years","City Campus","BBC; Interview; IELTS 7.0 (7.0)","NMC-accredited professional training with extensive local NHS placements.","Anatomy, Clinical Skills, Public Health, Nursing Practice","www.worcester.ac.uk"
"C_UK078_02","UK078","EDUCATION","BA (Hons) Primary Education with QTS","UG","2026","September","3 Years","St John's","BBC; Interview; IELTS 7.0 (6.5)","Professional teacher training leading to Qualified Teacher Status for primary settings.","Pedagogy, Curriculum Studies, School Placements, Child Development","www.worcester.ac.uk"
"C_UK078_03","UK078","SPORTS","BSc (Hons) Sports and Exercise Science","UG","2026","September","3 Years","St John's","BCC; IELTS 6.0 (5.5)","Analyzing human performance through biomechanics, physiology, and psychology.","Biomechanics, Exercise Physiology, Sports Psych, Research Methods","www.worcester.ac.uk"
"C_UK078_04","UK078","SOCIAL_SCIENCE","BSc (Hons) Psychology","UG","2026","September","3 Years","St John's","BCC; IELTS 6.0 (5.5)","BPS-accredited study of the human mind, behavior, and mental health.","Cognitive Psych, Social Psych, Developmental Psych, Research","www.worcester.ac.uk"
"C_UK078_05","UK078","BUSINESS","BA (Hons) Business Management","UG","2026","September","3 Years","City Campus","BCC; IELTS 6.0 (5.5)","Broad management training with a focus on employability and entrepreneurship.","Marketing, Finance, HR Management, Strategic Planning","www.worcester.ac.uk"
"C_UK078_06","UK078","HEALTHCARE","MSc Physician Associate Studies","PG","2026","September","2 Years","City Campus","2:1 Science Degree; IELTS 7.5 (7.0)","Advanced clinical training to support doctors in diagnosis and patient management.","General Medicine, Clinical Skills, Pharmacology, Placements","www.worcester.ac.uk"
"C_UK078_07","UK078","HEALTHCARE","BSc (Hons) Mental Health Nursing","UG","2026","September","3 Years","City Campus","BBC; Interview; IELTS 7.0 (7.0)","Professional training for NMC registration, focusing on psychological support.","Psychopathology, Clinical Practice, Mental Health Law, Therapeutic Care","www.worcester.ac.uk"
"C_UK078_08","UK078","SPORTS","BSc (Hons) Sports Therapy","UG","2026","September","3 Years","St John's","BCC; IELTS 6.0 (5.5)","Clinical training in injury prevention, assessment, and rehabilitation.","Sports Massage, Injury Assessment, Rehabilitation, Trauma Care","www.worcester.ac.uk"
"C_UK078_09","UK078","SOCIAL_SCIENCE","BA (Hons) Criminology","UG","2026","September","3 Years","St John's","BCC; IELTS 6.0 (5.5)","Investigating the causes of crime, justice systems, and forensic psychology.","Criminal Justice, Social Policy, Victimology, Crime Theory","www.worcester.ac.uk"
"C_UK078_10","UK078","SCIENCE","BSc (Hons) Biomedical Science","UG","2026","September","3 Years","St John's","BCC; Bio/Chem; IELTS 6.0 (5.5)","IBMS-accredited study of human health, pathology, and laboratory diagnostics.","Human Physiology, Biochemistry, Microbiology, Pathology","www.worcester.ac.uk"
