"TF_UK121_01_INTL","C_UK121_01","UK121","2026","INTL","18500.00","2000.00","3000.00","GBP"
"TF_UK121_01_HOME","C_UK121_01","UK121","2026","HOME","9250.00","0.00","0.00","GBP"
"TF_UK121_02_INTL","C_UK121_02","UK121","2026","INTL","18500.00","2000.00","3000.00","GBP"
"TF_UK121_02_HOME","C_UK121_02","UK121","2026","HOME","9250.00","0.00","0.00","GBP"
"TF_UK121_03_INTL","C_UK121_03","UK121","2026","INTL","18500.00","2000.00","3000.00","GBP"
"TF_UK121_03_HOME","C_UK121_03","UK121","2026","HOME","9250.00","0.00","0.00","GBP"
"TF_UK121_04_INTL","C_UK121_04","UK121","2026","INTL","18500.00","2000.00","3000.00","GBP"
"TF_UK121_04_HOME","C_UK121_04","UK121","2026","HOME","9250.00","0.00","0.00","GBP"
"TF_UK121_05_INTL","C_UK121_05","UK121","2026","INTL","18500.00","2000.00","3000.00","GBP"
"TF_UK121_05_HOME","C_UK121_05","UK121","2026","HOME","9250.00","0.00","0.00","GBP"
"TF_UK121_06_INTL","C_UK121_06","UK121","2026","INTL","17500.00","2000.00","3000.00","GBP"
"TF_UK121_06_HOME","C_UK121_06","UK121","2026","HOME","9250.00","0.00","0.00","GBP"
"TF_UK121_07_INTL","C_UK121_07","UK121","2026","INTL","17500.00","2000.00","3000.00","GBP"
"TF_UK121_07_HOME","C_UK121_07","UK121","2026","HOME","9250.00","0.00","0.00","GBP"
"TF_UK121_08_INTL","C_UK121_08","UK121","2026","INTL","18500.00","2000.00","3000.00","GBP"
"TF_UK121_08_HOME","C_UK121_08","UK121","2026","HOME","9250.00","0.00","0.00","GBP"
"TF_UK121_09_INTL","C_UK121_09","UK121","2026","INTL","18500.00","2000.00","3000.00","GBP"
"TF_UK121_09_HOME","C_UK121_09","UK121","2026","HOME","9250.00","0.00","0.00","GBP"
"TF_UK121_10_INTL","C_UK121_10","UK121","2026","INTL","18500.00","2000.00","3000.00","GBP"
"TF_UK121_10_HOME","C_UK121_10","UK121","2026","HOME","9250.00","0.00","0.00","GBP"
"TF_UK121_11_INTL","C_UK121_11","UK121","2026","INTL","19500.00","2000.00","3000.00","GBP"
"TF_UK121_11_HOME","C_UK121_11","UK121","2026","HOME","11500.00","0.00","0.00","GBP"
"TF_UK121_12_INTL","C_UK121_12","UK121","2026","INTL","19500.00","2000.00","3000.00","GBP"
"TF_UK121_12_HOME","C_UK121_12","UK121","2026","HOME","11500.00","0.00","0.00","GBP"
"TF_UK121_13_INTL","C_UK121_13","UK121","2026","INTL","19500.00","2000.00","3000.00","GBP"
"TF_UK121_13_HOME","C_UK121_13","UK121","2026","HOME","12500.00","0.00","0.00","GBP"
"TF_UK121_14_INTL","C_UK121_14","UK121","2026","INTL","19500.00","2000.00","3000.00","GBP"
"TF_UK121_14_HOME","C_UK121_14","UK121","2026","HOME","11500.00","0.00","0.00","GBP"
"TF_UK121_15_INTL","C_UK121_15","UK121","2026","INTL","19500.00","2000.00","3000.00","GBP"
"TF_UK121_15_HOME","C_UK121_15","UK121","2026","HOME","12500.00","0.00","0.00","GBP"
"TF_UK121_16_INTL","C_UK121_16","UK121","2026","INTL","19500.00","2000.00","3000.00","GBP"
"TF_UK121_16_HOME","C_UK121_16","UK121","2026","HOME","11500.00","0.00","0.00","GBP"
"TF_UK121_17_INTL","C_UK121_17","UK121","2026","INTL","19500.00","2000.00","3000.00","GBP"
"TF_UK121_17_HOME","C_UK121_17","UK121","2026","HOME","11500.00","0.00","0.00","GBP"
"TF_UK121_18_INTL","C_UK121_18","UK121","2026","INTL","19500.00","2000.00","3000.00","GBP"
"TF_UK121_18_HOME","C_UK121_18","UK121","2026","HOME","12500.00","0.00","0.00","GBP"
